#
# Observation-Count Rank words vs. self-MI
#
#
# rank	word	count	self-mi	support
1	,	1147092	5.8625	224495
2	the	1089442	5.6281	164074
3	###LEFT-WALL###	964836	4.3518	145826
4	.	752791	6.0063	125886
5	of	581508	6.0027	115727
6	to	500490	5.7792	86019
7	and	419851	2.9484	78117
8	a	316771	7.0520	61784
9	in	210685	4.6861	49089
10	“	186575	4.6435	13994
11	-	180362	8.3267	24167
12	I	176685	4.3380	26378
13	he	171214	4.9438	22620
14	”	157424	4.4002	18932
15	it	156980	5.1460	24044
16	his	151119	7.4585	27429
17	was	144430	6.2556	28492
18	that	144149	3.3196	28115
19	not	126818	6.1627	15062
20	is	104418	6.0770	19685
21	be	99925	7.2542	18209
22	as	97353	3.6054	17395
23	_	88776	5.4206	17878
24	for	85977	3.2373	19664
25	with	82853	5.3063	19854
26	had	82852	7.5076	16135
27	--	79298	3.6832	8813
28	at	75457	7.0920	15917
29	you	73618	7.0330	12690
30	have	72744	7.5483	12253
31	her	70052	6.7719	14732
32	him	69948	7.1979	13100
33	but	69491	3.0459	8538
34	on	69298	5.1596	17569
35	The	68208	10.359	14920
36	He	65472	4.5525	6876
37	It	55411	4.6176	4626
38	by	54953	5.5995	13974
39	all	54171	5.8411	9437
40	;	54051	6.8549	16962
41	this	52879	5.7667	9725
42	she	50171	5.3113	7589
43	been	49454	10.044	7928
44	they	49192	6.6823	9303
45	said	48916	7.6947	6997
46	‘	48808	6.4432	4518
47	from	46099	5.2042	12145
48	one	44690	6.5624	8836
49	an	43710	10.759	9424
50	so	42161	4.3374	7491
51	me	41643	7.4675	7973
52	or	40402	6.3900	7166
53	which	38425	4.7463	9623
54	my	36512	8.7000	7754
55	them	36106	6.9288	8139
56	up	35430	8.7895	6894
57	are	34929	7.2680	8057
58	were	32682	6.6971	8899
59	out	32482	9.2568	6855
60	their	32445	8.1891	8965
61	would	31282	7.0066	6086
62	?	30586	8.3043	6976
63	:	30322	9.2639	6409
64	no	30025	9.4535	5360
65	we	29756	7.0691	6400
66	’	28978	5.7935	5271
67	there	28710	5.4605	5515
68	*	28421	6.9788	985
69	will	27489	5.7761	5237
70	But	27375	5.2920	3851
71	—	26266	8.9059	6625
72	if	26051	4.5251	4092
73	very	25628	10.502	4909
74	other	25439	8.0402	4451
75	do	25233	7.6626	4189
76	more	24839	9.7532	5785
77	time	24696	3.2191	4726
78	who	24670	7.9438	6206
79	!	24298	7.6880	5840
80	[	23740	9.4793	3826
81	(	23541	8.7342	4585
82	)	23233	6.6809	5703
83	could	22779	7.1249	4501
84	She	22776	4.6335	3107
85	And	20156	5.1193	3221
86	when	20051	3.4461	4133
87	only	19578	6.1494	4264
88	In	18971	6.9833	3143
89	little	18571	9.0408	4164
90	now	18412	5.1966	4204
91	then	18316	4.2727	3833
92	great	18087	9.4284	3580
93	first	17589	6.4210	3527
94	own	17475	8.9195	3162
95	into	17263	8.3631	4951
96	has	16692	8.3714	4435
97	same	16652	8.9837	2114
98	what	16648	5.2940	4387
99	+	16599	12.269	2147
100	There	16487	4.9706	1726
101	any	16342	8.6553	3300
102	well	16331	7.0667	2862
103	some	16253	8.6889	3892
104	back	16179	5.9428	3097
105	can	16031	7.6600	2886
106	know	15913	7.4756	3015
107	A	15702	8.0375	3764
108	much	15590	6.8894	3326
109	two	15569	4.5940	3710
110	about	15416	7.7392	3977
111	did	15194	7.3487	3060
112	They	15050	8.1804	2424
113	man	14980	5.5805	3547
114	good	14924	6.8126	3077
115	down	14854	9.4312	3221
116	never	14785	7.6024	2630
117	see	14411	6.2505	2784
118	us	14395	7.9581	3119
119	]	13878	8.8469	3760
120	long	13867	7.0933	2519
121	should	13658	7.3774	2640
122	like	13515	5.3197	3099
123	'	13503	3.2406	1974
124	must	13312	7.2428	2242
125	than	13253	8.3188	3074
126	its	13126	8.8445	3796
127	our	13123	7.7707	3636
128	most	13030	6.6717	3139
129	may	12919	7.2852	2454
130	You	12605	8.3167	2263
131	old	12257	9.4364	2411
132	This	12218	4.6718	2305
133	over	11966	7.3436	3230
134	way	11959	3.9511	2665
135	such	11912	7.2353	2246
136	just	11778	6.6549	2534
137	|	11719	8.4655	1346
138	"	11704	4.0867	3964
139	We	11523	8.0321	2046
140	your	11474	8.9603	3153
141	17	11469	7.1560	1204
142	day	11317	4.5267	2703
143	made	10812	7.2007	2993
144	even	10790	6.1898	2169
145	upon	10733	6.8135	2964
146	before	10597	3.8951	2852
147	himself	10589	8.6314	2558
148	Mr	10356	7.0301	2517
149	am	10265	9.6043	1598
150	What	10213	6.2816	1852
151	If	10137	5.5380	1639
152	last	10087	4.4334	2119
153	still	9582	6.3826	2404
154	too	9577	8.1313	2292
155	few	9443	11.520	1401
156	No	9368	3.6462	1376
157	think	9350	7.9609	2053
158	away	9335	10.824	2103
159	head	9323	3.2857	2069
160	after	9136	5.7085	2368
161	these	8959	8.7339	2410
162	de	8600	14.556	1938
163	hand	8395	4.5685	2055
164	right	8362	3.9899	1852
165	say	8323	8.1224	1940
166	05	8172	8.1346	33
167	│	8164	10.051	781
168	thought	8153	3.3339	1894
169	far	8138	7.5070	1350
170	whole	8094	3.8771	1335
171	young	8084	9.1912	1300
172	part	8057	4.9661	1555
173	work	7965	3.1029	1483
174	eyes	7961	3.3000	1900
175	As	7933	5.5645	1410
176	place	7877	3.4388	1880
177	At	7855	7.7811	1261
178	shall	7652	7.5609	1425
179	though	7649	3.5641	1264
180	When	7631	5.2560	1540
181	make	7573	6.5722	1799
182	again	7547	7.2176	2133
183	years	7479	9.0847	1701
184	many	7403	9.0096	1745
185	Then	7322	5.7236	1374
186	come	7212	8.9034	1967
187	might	7126	6.8871	1610
188	also	7105	6.2539	1949
189	life	7070	2.9315	1849
190	off	7006	9.8520	2044
191	three	6966	6.3515	1775
192	His	6785	11.504	1632
193	go	6698	8.7522	1943
194	found	6687	7.8188	1515
195	Illustration	6559	8.0498	427
196	every	6552	8.2716	1639
197	here	6533	6.6705	1858
198	Jack	6526	7.0843	1241
199	how	6517	5.6799	1757
200	course	6513	3.0784	1079
201	\\\\\\\"I	6490	3.2328	334
202	1	6481	3.2840	797
203	asked	6441	9.3000	1545
204	men	6321	3.8262	1994
205	end	6315	3.0666	1197
206	always	6300	7.2875	1503
207	side	6225	3.4338	1347
208	however	6166	8.4147	1319
209	ever	6159	7.4348	1394
210	those	6110	9.6643	1612
211	want	6025	4.6338	1308
212	\\\\\\\\\\\\\\\"I	6025	3.1258	374
213	take	5965	6.5214	1500
214	where	5953	3.7775	1766
215	going	5919	9.2417	1447
216	being	5913	6.4122	1891
217	nothing	5831	7.5750	1521
218	through	5819	6.1352	1902
219	came	5805	8.0074	1731
220	yet	5785	4.1081	1234
221	On	5770	7.4664	1135
222	For	5707	6.5102	1149
223	each	5652	9.0049	1279
224	So	5494	5.1425	1107
225	face	5486	2.7803	1255
226	small	5485	7.9706	1360
227	new	5458	9.9264	1514
228	get	5435	7.1000	1495
229	2	5357	2.9199	663
230	My	5328	3.1373	1023
231	That	5261	4.2027	1101
232	world	5258	5.0124	1219
233	once	5251	7.2465	1462
234	moment	5160	4.9253	1176
235	....	5147	4.7810	539
236	don’t	5132	10.178	759
237	people	5117	2.8019	1573
238	tell	5116	7.8166	1080
239	looked	5013	11.595	1291
240	night	5000	5.1195	1310
241	left	4977	6.6650	1312
242	hands	4941	3.0115	1106
243	soon	4866	7.2400	822
244	To	4835	7.4739	992
245	i	4834	11.502	1510
246	house	4825	3.0525	1372
247	while	4822	3.4403	1190
248	present	4817	7.7713	1000
249	God	4812	5.0581	1205
250	went	4725	9.7857	1489
251	Yes	4700	5.5187	596
252	both	4675	8.5015	1101
253	told	4550	8.5991	1147
254	large	4510	9.9497	1081
255	almost	4484	8.3245	1254
256	half	4479	7.0836	1192
257	mind	4467	3.6555	1142
258	How	4458	8.0378	917
259	next	4443	9.6205	943
260	room	4432	6.5960	1223
261	Project	4346	15.786	148
262	another	4294	7.0520	1270
263	days	4276	4.9446	1080
264	give	4270	6.8387	1069
265	Gutenberg	4266	11.685	59
266	quite	4261	8.7338	1158
267	knew	4231	8.2342	1183
268	without	4216	7.5187	1289
269	Oh	4208	7.1080	672
270	matter	4197	4.4332	846
271	Now	4190	5.5667	724
272	best	4182	3.2022	1065
273	Well	4158	7.3794	683
274	done	4150	9.1572	1192
275	something	4142	6.9862	1227
276	fact	4132	5.1856	822
277	seen	4117	9.2408	1095
278	3	4106	2.8692	504
279	CHAPTER	4090	13.067	562
280	S	4087	9.7480	649
281	Why	4064	8.3562	744
282	look	4055	5.5716	1136
283	THE	4049	15.747	1192
284	New	3991	15.360	831
285	thing	3947	8.1956	1094
286	under	3898	7.1199	1316
287	better	3896	6.9899	1094
288	least	3880	6.5191	813
289	father	3877	4.8734	914
290	really	3863	8.0415	927
291	hundred	3858	13.172	873
292	OF	3851	15.469	817
293	home	3824	4.6044	1035
294	against	3779	8.5017	1387
295	already	3747	8.3824	899
296	find	3745	6.9048	962
297	second	3716	7.2753	927
298	door	3713	3.2557	906
299	name	3686	2.6785	891
300	high	3671	9.8697	941
301	One	3653	8.3344	747
302	enough	3648	10.427	1024
303	By	3640	7.6400	770
304	let	3634	7.0276	924
305	Of	3633	10.959	444
306	because	3593	3.4757	884
307	full	3588	12.693	836
308	kind	3574	4.4338	843
309	John	3536	5.3070	924
310	4	3529	2.9216	467
311	D	3510	9.9162	519
312	took	3500	7.3861	1161
313	All	3498	5.8595	701
314	got	3483	9.2130	1099
315	country	3449	5.3384	993
316	taken	3443	9.3173	956
317	five	3442	10.716	835
318	four	3431	8.8319	891
319	things	3429	6.8975	1031
320	heart	3419	2.7676	869
321	‐	3408	5.3188	569
322	white	3390	8.7328	1006
323	saw	3390	7.6118	947
324	given	3375	8.4936	954
325	10	3367	6.5431	402
326	Mrs	3355	7.9764	860
327	cannot	3354	8.3846	691
328	between	3319	8.5022	1190
329	sure	3292	9.7699	779
330	King	3277	4.1892	1048
331	Y	3256	12.626	164
332	around	3239	9.1233	1071
333	Do	3197	10.684	462
334	use	3196	3.1083	726
335	certain	3192	9.7564	757
336	rest	3178	2.6877	637
337	Ross	3158	7.6766	675
338	love	3139	4.3821	789
339	O	3110	10.853	541
340	short	3085	10.271	645
341	point	3083	3.5887	836
342	case	3077	3.0811	787
343	ii	3053	13.406	1054
344	open	3027	9.1216	779
345	help	3012	4.3737	672
346	light	2989	2.6761	879
347	year	2983	6.5201	922
348	feet	2966	4.3393	906
349	book	2961	5.5739	784
350	put	2950	6.6968	954
351	general	2918	9.6940	731
352	=N	2898	13.948	88
353	used	2895	8.8677	820
354	After	2893	7.1216	637
355	seemed	2866	9.1947	776
356	called	2858	7.6396	925
357	different	2854	10.650	771
358	replied	2839	11.361	617
359	else	2827	11.799	607
360	With	2821	7.5870	649
361	5	2813	2.8979	376
362	true	2812	9.2336	753
363	believe	2812	8.3046	728
364	set	2806	7.5834	819
365	able	2789	9.8960	777
366	morning	2776	5.8342	723
367	water	2773	6.0133	942
368	tm	2754	14.603	47
369	felt	2743	8.7914	840
370	power	2733	2.6857	812
371	mother	2720	5.0970	655
372	Not	2709	9.0445	562
373	\\\\\\\	2705	7.7240	29
374	St	2690	11.839	746
375	N	2690	8.7606	396
376	son	2680	3.3990	736
377	does	2679	8.3121	669
378	anything	2660	9.7985	759
379	known	2652	8.3168	751
380	United	2587	15.106	345
381	ground	2583	4.8601	785
382	English	2568	7.8498	767
383	death	2564	2.7474	820
384	M	2560	8.3346	595
385	\\\\\\\"You	2560	3.2786	201
386	order	2552	4.0023	702
387	themselves	2542	10.444	790
388	says	2539	7.4808	651
389	public	2529	10.253	684
390	thousand	2497	13.909	561
391	----	2497	4.5059	370
392	Two	2494	11.771	510
393	turned	2479	9.4225	822
394	body	2476	2.6895	683
395	18	2469	5.2073	382
396	need	2456	4.9991	630
397	6	2403	2.9521	331
398	others	2401	6.0397	754
399	Chapter	2401	15.302	332
400	state	2399	3.0379	625
401	word	2393	4.5650	656
402	following	2389	9.4390	535
403	often	2366	6.7870	672
404	See	2366	9.8237	508
405	voice	2364	2.9181	717
406	close	2344	3.0475	647
407	care	2337	3.9220	585
408	means	2324	4.1723	626
409	F	2317	8.4259	446
410	poor	2315	7.0190	611
411	reason	2312	4.2422	664
412	air	2300	4.2444	760
413	less	2299	10.877	699
414	herself	2285	9.9430	724
415	\"I	2282	3.2878	197
416	number	2281	3.5699	569
417	don't	2280	10.119	414
418	since	2271	3.8900	603
419	London	2266	6.4346	421
420	B	2263	6.0598	423
421	\\\"I	2254	3.1169	211
422	heard	2252	8.6017	806
423	States	2251	12.929	481
424	rather	2245	8.6562	702
425	account	2239	6.0377	576
426	hope	2237	4.4702	530
427	possible	2214	10.565	637
428	mean	2211	9.7738	541
429	why	2182	7.7387	639
430	several	2182	11.465	612
431	woman	2175	5.6855	645
432	works	2174	6.4510	236
433	words	2170	3.3706	624
434	Miss	2167	12.193	594
435	boy	2152	7.1017	568
436	black	2149	8.1165	741
437	French	2144	8.8544	644
438	C	2144	6.8991	517
439	myself	2143	9.1943	646
440	human	2125	10.471	561
441	having	2121	6.9388	763
442	8	2115	3.0970	324
443	front	2106	6.5874	450
444	times	2087	6.2285	675
445	friend	2083	6.2321	513
446	perhaps	2068	5.4012	567
447	keep	2057	6.9017	564
448	From	2053	7.1079	477
449	W	2039	8.6371	436
450	deep	2037	12.365	441
451	didn’t	2037	9.6509	424
452	looking	2034	10.169	654
453	subject	2032	2.9167	508
454	indeed	2014	6.5367	557
455	either	2014	8.9220	520
456	gave	2007	8.3749	713
457	Her	2005	11.593	507
458	began	1997	9.7175	714
459	L	1988	12.904	282
460	war	1980	5.7172	685
461	dark	1967	9.1970	590
462	twenty	1957	12.218	575
463	$	1954	16.993	451
464	...	1951	5.3346	562
465	7	1948	2.9125	273
466	together	1930	9.9681	613
467	six	1926	10.985	537
468	et	1923	18.227	775
469	sight	1921	3.1737	430
470	city	1919	4.9253	677
471	above	1918	9.3942	589
472	hard	1917	7.6840	565
473	Sir	1914	9.0412	464
474	brought	1908	7.9465	669
475	probably	1901	7.2499	554
476	form	1885	3.5195	519
477	arms	1878	4.0902	580
478	E	1873	9.5948	432
479	I’m	1872	13.742	463
480	wish	1871	7.6028	463
481	return	1868	4.3369	570
482	dear	1855	10.171	502
483	idea	1843	2.8945	488
484	\\\\\\\\\\\\\\\"You	1843	3.3184	160
485	longer	1835	13.633	557
486	business	1828	3.5436	662
487	cried	1825	11.242	478
488	Here	1820	4.2665	369
489	North	1818	7.9181	427
490	16	1813	4.2442	273
491	T	1807	2.9855	216
492	hour	1803	4.6872	558
493	dead	1801	6.3536	565
494	These	1795	8.9970	539
495	sort	1795	5.4259	417
496	wife	1792	4.1265	485
497	age	1790	6.8479	447
498	round	1784	7.2269	585
499	early	1781	10.246	467
500	American	1778	12.500	499
501	Lord	1777	4.6938	536
502	fire	1774	4.7144	628
503	ten	1767	11.182	490
504	9	1766	2.9608	286
505	money	1760	8.4627	652
506	TO	1760	16.926	326
507	H	1754	7.1324	463
508	Pitch	1743	7.3457	355
509	An	1733	11.804	516
510	fine	1732	9.3739	546
511	la	1728	17.637	493
512	II	1723	2.8754	307
513	therefore	1719	6.4642	542
514	past	1718	8.2234	509
515	family	1708	4.3348	531
516	near	1706	7.7798	605
517	Jim	1703	8.1330	341
518	Je	1700	3.0028	176
519	note	1699	6.2008	503
520	York	1691	14.131	469
521	J	1690	8.4303	434
522	thus	1688	8.2573	571
523	leave	1686	6.3148	531
524	story	1682	2.9035	485
525	along	1679	9.5914	561
526	whom	1676	6.0240	624
527	England	1676	7.7006	519
528	question	1673	3.0051	465
529	show	1672	6.5157	449
530	itself	1670	10.924	561
531	wanted	1669	9.6127	528
532	behind	1662	10.491	571
533	p	1656	11.641	529
534	sea	1649	7.0944	490
535	girl	1643	6.5788	457
536	hardly	1636	8.4897	389
537	\\\\\\\\\\\\\\\	1631	10.331	39
538	among	1620	6.6791	612
539	alone	1620	9.0771	556
540	gone	1619	10.209	518
541	free	1612	9.8215	411
542	&	1608	17.253	241
543	later	1605	10.957	505
544	nature	1603	2.6977	423
545	Queen	1597	3.3868	577
546	seems	1597	9.1583	379
547	low	1596	11.335	438
548	Is	1595	9.1819	368
549	25	1584	4.4429	255
550	person	1582	3.9274	428
551	ago	1567	14.109	399
552	middle	1567	3.2306	313
553	children	1562	3.0225	501
554	hear	1559	7.5493	449
555	terms	1558	9.8166	228
556	doubt	1555	9.3164	496
557	big	1554	7.7921	452
558	feel	1552	7.7041	473
559	letter	1547	5.6159	528
560	common	1542	10.015	456
561	town	1541	6.3055	604
562	late	1531	10.033	402
563	important	1530	9.6125	469
564	law	1525	4.4036	467
565	top	1524	3.0710	407
566	Prince	1524	8.8327	373
567	11	1519	3.2654	221
568	bed	1515	4.7212	484
569	Shakspeare	1513	13.526	297
570	However	1513	9.2199	216
571	real	1508	8.8706	490
572	sent	1506	9.2230	592
573	Good	1502	7.6798	324
574	manner	1499	4.1932	405
575	natural	1492	10.204	447
576	latter	1492	6.2043	424
577	General	1483	10.676	426
578	beautiful	1480	7.8845	480
579	Some	1479	10.512	379
580	strong	1475	8.7219	446
581	coming	1473	3.3618	489
582	per	1460	14.547	376
583	until	1459	3.6601	507
584	red	1453	10.382	551
585	speak	1453	9.5885	440
586	understand	1453	7.6069	403
587	length	1453	3.2781	338
588	passed	1452	10.392	568
589	Jl	1452	3.0222	115
590	Let	1450	11.248	316
591	answered	1449	10.565	447
592	seem	1448	12.367	383
593	brother	1438	6.3480	443
594	held	1437	8.6151	515
595	character	1435	2.7296	484
596	bad	1434	7.7134	460
597	child	1432	5.0413	412
598	forth	1419	13.345	308
599	France	1418	8.3272	540
600	single	1412	12.330	397
601	cold	1411	9.7515	382
602	certainly	1411	7.4062	375
603	15	1408	3.5975	240
604	didn't	1406	9.5153	399
605	12	1406	2.9928	261
606	attention	1404	3.7097	389
607	P	1399	7.6646	383
608	cause	1393	2.7539	375
609	nearly	1383	8.9129	458
610	III	1381	2.9542	249
611	doing	1375	9.5858	415
612	happened	1371	11.143	401
613	table	1370	6.3006	480
614	electronic	1370	17.560	47
615	making	1366	5.0696	487
616	purpose	1366	3.5726	384
617	14	1364	3.5724	196
618	friends	1362	4.4872	452
619	position	1356	2.8558	478
620	view	1355	4.6008	390
621	sense	1354	3.2951	408
622	13	1354	3.4712	227
623	received	1351	12.086	448
624	\\\\\\\"What	1350	3.7231	89
625	ought	1329	11.110	336
626	le	1328	16.089	469
627	Ap	1327	2.9841	97
628	wide	1326	10.608	377
629	mouth	1326	3.1569	366
630	evening	1319	4.6635	393
631	suppose	1318	8.2229	323
632	necessary	1313	9.1408	429
633	Archive	1309	15.501	40
634	20	1306	3.7931	246
635	sir	1297	9.3166	282
636	AND	1294	15.078	402
637	minutes	1293	9.5780	367
638	added	1290	8.7918	403
639	Great	1286	8.7229	299
640	\\\\\\\\\\\\\\\"It	1286	3.8406	90
641	women	1285	4.3411	428
642	George	1285	6.0361	418
643	line	1284	3.1400	475
644	Ah	1281	7.4315	195
645	truth	1279	3.6335	364
646	pretty	1276	11.552	351
647	lost	1267	8.1819	453
648	earth	1264	7.8642	399
649	\\\\\\\\\\\\\\\"What	1263	3.6489	107
650	call	1260	5.1222	421
651	during	1257	6.3415	546
652	Ja	1255	3.1315	136
653	saying	1247	7.3597	321
654	Where	1247	7.2970	301
655	foot	1245	3.5685	392
656	sound	1240	2.8240	367
657	vol	1240	17.961	245
658	fear	1239	3.5774	424
659	history	1238	2.7553	358
660	British	1234	13.960	279
661	further	1233	10.831	425
662	eye	1231	3.5601	331
663	deal	1230	12.884	344
664	nor	1226	5.5636	424
665	stood	1224	9.7724	465
666	turn	1224	4.6825	442
667	land	1224	3.1273	395
668	chief	1220	4.4087	406
669	clear	1214	7.2349	364
670	continued	1213	8.8560	408
671	living	1212	10.594	326
672	whether	1210	4.3694	406
673	ready	1205	8.6699	431
674	heavy	1205	11.040	386
675	interest	1203	2.8744	405
676	greater	1203	12.401	281
677	answer	1201	5.1323	409
678	shook	1199	14.031	287
679	Even	1192	7.3166	278
680	third	1189	7.3574	318
681	R	1188	7.1866	333
682	30	1180	4.5393	233
683	21	1177	4.1524	195
684	bit	1173	7.5462	354
685	***	1171	5.2238	105
686	suddenly	1162	8.7529	412
687	Footnote	1161	19.133	411
688	beginning	1161	3.0818	261
689	hold	1153	6.3298	388
690	strange	1153	9.3619	381
691	\\\\\\\\\\\\\\\"Well	1152	4.3781	22
692	force	1150	3.0631	397
693	enemy	1144	5.2956	497
694	Dr	1143	7.5809	350
695	Cong	1139	15.476	73
696	Madame	1136	13.036	388
697	within	1133	10.317	411
698	\\\\\\\\\\\\\\\"But	1131	3.2576	110
699	\\\\\\\"Oh	1128	3.6098	52
700	kept	1125	9.1760	451
701	South	1124	11.124	277
702	William	1117	8.4495	360
703	hours	1115	6.1902	400
704	fair	1113	9.9567	363
705	forward	1112	10.573	394
706	lower	1112	11.716	288
707	blue	1111	11.538	361
708	read	1106	7.2389	342
709	written	1101	11.951	293
710	can’t	1095	8.8750	255
711	\\\\\\\\\\\\\\\"And	1095	3.2747	138
712	22	1092	3.9329	184
713	nodded	1090	12.371	289
714	former	1089	7.6417	326
715	Paris	1088	4.9147	412
716	ask	1082	7.5404	339
717	returned	1080	9.2462	410
718	various	1080	13.043	314
719	8vo	1076	3.4041	88
720	\\\\\\\"I'm	1070	3.4216	103
721	Notes	1068	9.1875	111
722	\\\\\\\\\\\\\\\"Oh	1067	4.3968	33
723	followed	1065	9.1366	359
724	meet	1060	7.6184	283
725	Ch	1058	10.112	111
726	Bud	1057	12.283	517
727	sometimes	1057	6.5180	388
728	scene	1057	3.3918	330
729	\\\\\\\\\\\\\\\"Yes	1057	4.6015	21
730	everything	1054	5.8114	392
731	Are	1052	10.270	229
732	spirit	1050	2.6822	315
733	author	1049	4.2878	235
734	reached	1048	14.421	343
735	Who	1046	8.1572	285
736	First	1046	9.9839	278
737	fell	1044	12.281	370
738	respect	1041	9.0343	265
739	Christian	1040	8.8071	293
740	party	1033	5.6928	393
741	eight	1032	12.151	288
742	opened	1029	10.405	344
743	daughter	1028	3.5696	323
744	seven	1026	12.211	316
745	happy	1023	7.9858	340
746	Just	1019	9.9141	269
747	\\\\\\\"No	1017	3.3890	39
748	art	1009	3.9658	313
749	Foundation	1007	18.296	35
750	supposed	1003	9.8954	355
751	agreement	1003	14.341	66
752	19	1002	3.3637	171
753	talk	1001	6.0971	300
754	fellow	1000	12.805	283
755	road	998	6.3762	397
756	tried	997	9.4467	371
757	became	988	11.346	386
758	=A	987	16.409	61
759	May	982	5.9394	290
760	till	978	3.9532	354
761	ancient	975	11.233	331
762	object	975	2.7796	288
763	House	970	8.3577	242
764	{	970	11.673	193
765	future	968	6.2820	261
766	lot	968	5.2015	247
767	considerable	966	12.147	215
768	office	965	4.4865	333
769	notice	958	7.4083	308
770	bring	957	6.9817	300
771	peace	955	4.4489	381
772	direction	954	2.8365	271
773	act	952	3.1300	317
774	greatest	952	6.5497	296
775	glad	951	10.601	281
776	yes	951	10.831	153
777	GUTENBERG	948	14.432	12
778	28	947	4.4577	141
779	Captain	946	8.6405	266
780	Thus	944	6.3720	249
781	especially	943	6.5455	233
782	slowly	942	9.4084	309
783	29	941	4.5904	145
784	thou	940	15.322	299
785	sat	939	12.430	310
786	Your	939	10.830	234
787	il	938	17.928	188
788	State	937	9.3168	321
789	result	937	2.8112	273
790	easily	936	8.4674	283
791	king	935	4.3323	266
792	24	935	3.5573	181
793	\\\\\\\\\\\\\\\"The	935	3.2066	129
794	presence	933	2.7403	243
795	laughed	929	12.498	290
796	effect	926	2.7629	305
797	main	925	12.340	223
798	I’ll	924	13.395	314
799	Henry	924	10.457	312
800	piece	923	6.6941	293
801	miles	921	15.311	419
802	Rev	920	12.628	197
803	―	916	16.053	107
804	It’s	914	9.7597	299
805	smile	914	7.5161	298
806	Times	914	10.166	95
807	feeling	913	2.9901	340
808	months	912	8.3917	320
809	smiled	912	11.713	310
810	sun	912	7.0188	293
811	blood	908	3.3631	331
812	church	907	4.9892	306
813	23	907	3.7708	177
814	THIS	906	16.333	28
815	service	905	3.0141	318
816	\\\	905	8.4647	76
817	wrong	902	7.9344	281
818	met	900	11.040	315
819	horse	898	6.4849	352
820	become	894	8.6291	322
821	charge	891	6.3464	215
822	Besides	890	8.3373	157
823	stone	889	11.769	317
824	live	883	9.4395	312
825	quickly	883	7.8674	293
826	Elizabeth	883	6.6422	248
827	parts	883	4.9903	248
828	try	881	8.3009	302
829	27	880	4.2596	158
830	master	879	3.3033	294
831	century	879	11.688	250
832	husband	879	7.2984	248
833	à	877	21.676	347
834	distance	877	4.4167	313
835	Ag	877	2.9708	72
836	particular	876	11.345	275
837	towards	871	7.8783	345
838	drawing	868	10.512	170
839	Republican=	868	16.657	12
840	school	867	5.1612	304
841	lady	864	5.1120	276
842	proper	863	9.9652	296
843	stand	861	10.216	344
844	26	860	3.9348	146
845	page	857	11.054	290
846	Fig	855	9.7770	248
847	Times.=	854	21.962	302
848	across	852	10.374	349
849	\\\\\\\\\\\\\\\"No	852	3.7560	38
850	change	849	4.8999	298
851	PROJECT	849	16.474	23
852	usual	847	12.285	286
853	arm	846	5.2043	290
854	Perhaps	845	5.6279	192
855	knowledge	844	2.7865	249
856	G	842	7.2480	221
857	IV	842	3.1418	134
858	Come	841	7.7613	231
859	self	839	13.704	292
860	soul	838	2.8685	251
861	although	837	3.5195	232
862	carried	836	10.642	321
863	afraid	836	9.9049	298
864	–	836	10.958	258
865	opposite	836	7.6123	187
866	Did	836	10.639	155
867	Transcript=	835	16.082	18
868	generally	833	9.4397	307
869	cut	831	7.9453	338
870	Old	830	16.242	168
871	hot	829	10.934	274
872	easy	829	9.4944	256
873	\\\\\\\"Well	828	3.7728	30
874	perfect	827	9.1346	285
875	run	827	8.6858	280
876	copy	824	10.461	89
877	condition	823	2.7969	256
878	remember	821	7.1439	272
879	hair	819	5.8034	300
880	sorry	819	11.502	219
881	\\\\\\\"It's	819	3.2994	74
882	whose	815	12.524	370
883	Will	814	9.9826	178
884	wild	813	11.905	271
885	Our	813	14.060	257
886	original	812	6.2273	239
887	fast	809	7.7810	245
888	lay	808	8.0765	326
889	paid	808	15.262	218
890	=R	807	16.982	41
891	river	805	7.8594	281
892	\\\\\\\"It	805	3.4719	69
893	bottom	804	3.1481	173
894	figure	803	3.0877	269
895	getting	802	9.1206	305
896	lips	802	4.9353	251
897	etc	801	13.127	209
898	raised	800	10.677	267
899	Lady	798	12.629	234
900	\\\\\\\"But	797	3.2080	79
901	pay	795	8.1307	284
902	immediately	794	9.9450	328
903	instance	794	6.9116	199
904	appeared	793	9.5722	292
905	opinion	792	3.0140	263
906	Telzey	791	8.1817	316
907	period	791	3.2423	266
908	Duke	788	5.1983	288
909	finally	788	8.2407	276
910	31	787	4.9855	149
911	impossible	786	9.9605	272
912	taking	783	5.6076	303
913	Don’t	783	10.383	210
914	entirely	782	12.756	288
915	floor	781	4.0963	259
916	closed	781	11.037	252
917	81	781	6.2867	207
918	Indian	780	11.982	282
919	killed	776	9.7821	338
920	That’s	775	11.698	221
921	scarcely	775	8.5190	192
922	support	774	6.9305	223
923	green	772	12.639	278
924	exclaimed	772	11.313	245
925	straight	771	10.178	225
926	fall	770	3.0021	283
927	\\\\\\\"Yes	770	3.7170	26
928	appearance	766	2.7433	219
929	laws	764	6.0030	135
930	placed	761	9.1371	309
931	field	761	4.9554	276
932	regard	761	11.113	219
933	copyright	758	17.831	41
934	exactly	757	10.787	223
935	\\\\\\\"And	757	3.2537	92
936	FIG	753	17.923	185
937	Their	752	14.057	303
938	window	752	5.5024	254
939	thirty	752	12.674	242
940	pleasure	751	3.1601	254
941	complete	747	9.0397	264
